status	grade	subject	filename	title	source
skipped_existing	1	agama_buddha	Buddha-BS-KLS-I.pdf	Pendidikan Agama Buddha dan Budi Pekerti untuk SD Kelas I	https://buku.kemendikdasmen.go.id/katalog/pendidikan-agama-buddha-dan-budi-pekerti-untuk-sd-kelas-i
skipped_existing	1	agama_islam	Islam-BS-KLS-I.pdf	Pendidikan Agama Islam dan Budi Pekerti untuk SD Kelas I	https://buku.kemendikdasmen.go.id/katalog/pendidikan-agama-islam-dan-budi-pekerti-untuk-sd-kelas-i
skipped_existing	1	bahasa_indonesia	Bahasa_Indonesia_BS_KLS_I_Rev.pdf	Bahasa Indonesia Aku Bisa! untuk SD/MI Kelas I (Edisi Revisi)	https://buku.kemendikdasmen.go.id/katalog/bahasa-indonesia-aku-bisa-untuk-sd-mi-kelas-i-edisi-revisi
skipped_existing	1	matematika	Matematika-BS-KLS-I.pdf	Matematika untuk SD/MI Kelas I	https://buku.kemendikdasmen.go.id/katalog/Matematika-untuk-SDMI-Kelas-I
skipped_existing	1	pendidikan_pancasila	Pendidikan-Pancasila-BS-KLS-I.pdf	Pendidikan Pancasila untuk SD/MI Kelas I	https://buku.kemendikdasmen.go.id/katalog/pendidikan-pancasila-untuk-sdmi-kelas-i
skipped_existing	1	pjok	PJOK_R_BS_KLS_I_Rev.pdf	Pendidikan Jasmani, Olahraga, dan Kesehatan untuk SD/MI Kelas I	https://buku.kemendikdasmen.go.id/katalog/pendidikan-jasmani-olahraga-dan-kesehatan-untuk-sd-mi-kelas-i
skipped_existing	2	bahasa_indonesia	Indonesia_BS_KLS_II_Rev.pdf	Bahasa Indonesia Keluargaku Unik untuk SD/MI Kelas II (Edisi Revisi)	https://buku.kemendikdasmen.go.id/katalog/bahasa-indonesia-keluargaku-unik-untuk-sd-mi-kelas-ii-edisi-revisi
skipped_existing	2	matematika	Matematika-BS-KLS-II.pdf	Matematika untuk SD/MI Kelas II	https://buku.kemendikdasmen.go.id/katalog/matematika-untuk-sdmi-kelas-ii
skipped_existing	2	pendidikan_pancasila	Pendidikan-Pancasila-BS-KLS-II.pdf	Pendidikan Pancasila untuk SD/MI Kelas II	https://buku.kemendikdasmen.go.id/katalog/pendidikan-pancasila-untuk-sdmi-kelas-ii
skipped_existing	3	agama_islam	Islam_BS_KLS_III.pdf	Pendidikan Agama Islam dan Budi Pekerti untuk SD/MI Kelas III	https://buku.kemendikdasmen.go.id/katalog/pendidikan-agama-islam-dan-budi-pekerti-untuk-sdmi-kelas-iii
skipped_existing	3	bahasa_indonesia	Indonesia_BS_KLS_III_Rev+.pdf	Bahasa Indonesia: Kawan Seiring untuk SD/MI Kelas III (Edisi Revisi)	https://buku.kemendikdasmen.go.id/katalog/bahasa-indonesia-kawan-seiring-untuk-sdmi-kelas-iii-edisi-revisi
skipped_existing	3	bahasa_inggris	Inggris_FN_BS_KLS_III.pdf	Bahasa Inggris: English for Nusantara Kids untuk SD/MI Kelas III	https://buku.kemendikdasmen.go.id/katalog/bahasa-inggris-english-for-nusantara-kids-untuk-sd-mi-kelas-iii
downloaded	3	ipas	IPAS_BS_KLS_III.pdf	Ilmu Pengetahuan Alam dan Sosial untuk SD/MI Kelas III (Edisi Revisi)	https://buku.kemendikdasmen.go.id/katalog/ilmu-pengetahuan-alam-dan-sosial-untuk-sdmi-kelas-iii-edisi-revisi
skipped_existing	3	matematika	Matematika_BS_KLS_III.pdf	Matematika untuk SD/MI Kelas III	https://buku.kemendikdasmen.go.id/katalog/matematika-untuk-sdmi-kelas-iii
skipped_existing	3	pendidikan_pancasila	Pendidikan-Pancasila-BS-KLS-III.pdf	Pendidikan Pancasila untuk SD/MI Kelas III	https://buku.kemendikdasmen.go.id/katalog/pendidikan-pancasila-untuk-sdmi-kelas-iii
skipped_existing	4	agama_buddha	Buddha-BS-KLS-IV.pdf	Pendidikan Agama Buddha dan Budi Pekerti untuk SD Kelas IV	https://buku.kemendikdasmen.go.id/katalog/pendidikan-agama-buddha-dan-budi-pekerti-untuk-sd-kelas-iv
skipped_existing	4	bahasa_inggris	Inggris_FN_BS_KLS_IV.pdf	Bahasa Inggris: English for Nusantara Kids untuk SD/MI Kelas IV	https://buku.kemendikdasmen.go.id/katalog/bahasa-inggris-english-for-nusantara-kids-untuk-sd-mi-kelas-iv
skipped_existing	4	ipas	IPAS_BS_KLS_IV_Rev.pdf	Ilmu Pengetahuan Alam dan Sosial untuk SD/MI Kelas IV (Edisi Revisi)	https://buku.kemendikdasmen.go.id/katalog/ilmu-pengetahuan-alam-dan-sosial-untuk-sd-mi-kelas-iv-edisi-revisi
skipped_existing	4	matematika	Matematika-BS-KLS-IV.pdf	Matematika untuk SD/MI Kelas IV	https://buku.kemendikdasmen.go.id/katalog/Matematika-untuk-SDMI-Kelas-IV
skipped_existing	4	pendidikan_pancasila	Pendidikan-Pancasila-BS-KLS-IV.pdf	Pendidikan Pancasila untuk SD/MI Kelas IV	https://buku.kemendikdasmen.go.id/katalog/pendidikan-pancasila-untuk-sdmi-kelas-iv
skipped_existing	4	pjok	PJOK_BS_KLS_IV.pdf	Pendidikan Jasmani, Olahraga, dan Kesehatan untuk SD/MI Kelas IV	https://buku.kemendikdasmen.go.id/katalog/pendidikan-jasmani-olahraga-dan-kesehatan-untuk-sd-mi-kelas-iv
skipped_existing	5	bahasa_indonesia	Indonesia_BS_KLS_V_Rev.pdf	Bahasa Indonesia: Bergerak Bersama untuk SD/MI Kelas V (Edisi Revisi)	https://buku.kemendikdasmen.go.id/katalog/bahasa-indonesia-bergerak-bersama-untuk-sd-mi-kelas-v-edisi-revisi
skipped_existing	5	bahasa_inggris	Inggris_FN_BS_KLS_V.pdf	Bahasa Inggris: English for Nusantara Kids untuk SD/MI Kelas V	https://buku.kemendikdasmen.go.id/katalog/bahasa-inggris-english-for-nusantara-kids-untuk-sd-mi-kelas-v
